year,round,pick_in_round,overall_pick,team,player_name,position,positions,nfl_team,is_auto_pick,is_skipped
2022,1,1,1,Mississippi Swamp Ass,Josh Allen,QB,QB,BUF,False,False
2022,1,2,2,THE DEMONS,Jonathan Taylor,RB,RB,IND,False,False
2022,1,3,3,Salty Dogs,Christian McCaffrey,RB,RB,SF,False,False
2022,1,4,4,Monster Cheese,Dalvin Cook,RB,RB,,False,False
2022,1,5,5,Aces High,Patrick Mahomes,QB,QB,KC,False,False
2022,1,6,6,Ball Busters,Tom Brady,QB,QB,,False,False
2022,1,7,7,Buckhorns,Austin Ekeler,RB,RB,WAS,False,False
2022,1,8,8,WARPIGS,Justin Herbert,QB,QB,LAC,False,False
2022,1,9,9,Mojo,Derrick Henry,RB,RB,BAL,False,False
2022,1,10,10,Shakedown Posse L.O.D.,Najee Harris,RB,RB,NYG,False,False
2022,2,1,11,Shakedown Posse L.O.D.,Joe Mixon,RB,RB,HOU,False,False
2022,2,2,12,Mojo,Lamar Jackson,QB,QB,BAL,False,False
2022,2,3,13,WARPIGS,Cooper Kupp,WR,WR,SEA,False,False
2022,2,4,14,Buckhorns,Aaron Rodgers,QB,QB,PIT,False,False
2022,2,5,15,Ball Busters,Alvin Kamara,RB,RB,NO,False,False
2022,2,6,16,Aces High,Justin Jefferson,WR,WR,MIN,False,False
2022,2,7,17,Monster Cheese,Javonte Williams,RB,RB,DAL,False,False
2022,2,8,18,Salty Dogs,Ja'Marr Chase,WR,WR,CIN,False,False
2022,2,9,19,THE DEMONS,Matthew Stafford,QB,QB,LAR,False,False
2022,2,10,20,Mississippi Swamp Ass,Nick Chubb,RB,RB,HOU,False,False
2022,3,1,21,Mississippi Swamp Ass,Travis Kelce,TE,TE,KC,False,False
2022,3,2,22,THE DEMONS,Dak Prescott,QB,QB,DAL,False,False
2022,3,3,23,Salty Dogs,Davante Adams,WR,WR,LAR,False,False
2022,3,4,24,Monster Cheese,Joe Burrow,QB,QB,CIN,False,False
2022,3,5,25,Aces High,Aaron Jones,RB,RB,MIN,False,False
2022,3,6,26,Ball Busters,Mike Evans,WR,WR,SF,False,False
2022,3,7,27,Buckhorns,James Conner,RB,RB,ARI,False,False
2022,3,8,28,WARPIGS,Ezekiel Elliott,RB,RB,,False,False
2022,3,9,29,Mojo,Kirk Cousins,QB,QB,LV,False,False
2022,3,10,30,Shakedown Posse L.O.D.,Kyler Murray,QB,QB,MIN,False,False
2022,4,1,31,Shakedown Posse L.O.D.,Russell Wilson,QB,QB,NYG,False,False
2022,4,2,32,Mojo,Mark Andrews,TE,TE,BAL,False,False
2022,4,3,33,WARPIGS,Leonard Fournette,RB,RB,,False,False
2022,4,4,34,Buckhorns,Jalen Hurts,QB,QB,PHI,False,False
2022,4,5,35,Ball Busters,Derek Carr,QB,QB,NO,False,False
2022,4,6,36,Aces High,Matt Ryan,QB,QB,,False,False
2022,4,7,37,Monster Cheese,CeeDee Lamb,WR,WR,DAL,False,False
2022,4,8,38,Salty Dogs,D'Andre Swift,RB,RB,CHI,False,False
