name,nfl_team,designation,headline,note,effective_time,source_file
Aeneas Peebles,BAL,Cleared,All set for practice,Peebles (undisclosed) was a full participant in Wednesday's practice.,2026-09-09 23:37:00,2026_week1_page1.txt
Akayleb Evans,CAR,Cleared,Not listed on injury report,Evans (neck) was not listed on Wednesday's injury report.,2026-09-09 23:15:00,2026_week1_page1.txt
Brandin Echols,PIT,Cleared,On pace to play vs. Falcons,"Echols (ankle) was not listed on Pittsburgh's official injury report Wednesday, Teresa Varley of the Steelers' official site reports.",2026-09-09 23:23:00,2026_week1_page1.txt
Dominique Robinson,HOU,Cleared,Practices on Wednesday,Robinson (calf) was a full participant in Wednesday's practice.,2026-09-09 23:47:00,2026_week1_page1.txt
Dru Phillips,NYG,Cleared,Fades injury report,Phillips (knee) is not listed on Wednesday's injury report.,2026-09-09 23:49:00,2026_week1_page1.txt
Elijah Hicks,CHI,Cleared,Not on injury report,Hicks (shin) wasn't listed on Chicago's injury report Wednesday.,2026-09-09 23:28:00,2026_week1_page1.txt
Jaden Robinson,DEN,Note,Tries out with Giants,"Robinson (undisclosed) tried out with the Giants on Monday, Aaron Wilson of KPRC 2 Houston reports.",2026-09-09 23:18:00,2026_week1_page1.txt
Jake Hansen,HOU,Cleared,Returns to practice Wednesday,Hansen (ankle) was a full participant in Wednesday's practice.,2026-09-09 23:42:00,2026_week1_page1.txt
Jay Higgins,BAL,Cleared,Clears concussion protocol,Higgins (concussion) was a full participant in Wednesday's practice.,2026-09-09 23:31:00,2026_week1_page1.txt
Jeremiyah Love,ARI,Limited,Limited at Wednesday's practice,"Love (ankle) was a limited practice participant Wednesday, Bo Brack of GoPHNX.com reports.",2026-09-09 23:21:00,2026_week1_page1.txt
Jonathan Bullard,DAL,Cleared,Full practice participant Wednesday,Bullard (hamstring) was a full participant in Wednesday's practice.,2026-09-09 23:41:00,2026_week1_page1.txt
Jonathan Greenard,PHI,Limited,Practices in limited capacity Wednesday,"Greenard (pectoral) was limited during Wednesday's practice, Tim McManus of ESPN.com reports.",2026-09-09 23:32:00,2026_week1_page1.txt
Keyshaun Elliott,CHI,Cleared,No longer on injury report,Elliott (undisclosed) wasn't listed on Chicago's injury report Wednesday.,2026-09-09 23:33:00,2026_week1_page1.txt
Paulson Adebo,NYG,Cleared,Not listed on injury report,Adebo (hamstring) was not listed on the Giants' injury report Wednesday.,2026-09-09 23:45:00,2026_week1_page1.txt
Qwan'tez Stiggers,NYJ,Cleared,Clears concussion protocol,"Stiggers (concussion) was a full participant in Wednesday's practice, Rich Cimini of ESPN.com reports.",2026-09-09 23:27:00,2026_week1_page1.txt
Sam Darnold,SEA,Questionable,Questionable to return,"Darnold (hip) left Wednesday night's contest against the Patriots in the first quarter, Curtis Crabtree of Fox 13 Seattle reports.",2026-09-09 23:45:00,2026_week1_page1.txt
Shemar Stewart,CIN,Cleared,Gets in full practice Wednesday,Stewart (knee) was a full participant at practice Wednesday.,2026-09-09 23:34:00,2026_week1_page1.txt
T.J. Maguranyanga,WAS,Note,Visits Vikings on Monday,"Maguranyanga (undisclosed) visited the Vikings on Monday, Aaron Wilson of KPRC 2 Houston reports.",2026-09-09 23:19:00,2026_week1_page1.txt
Wade Woodaz,HOU,Cleared,Manages full practice Wednesday,Woodaz (thumb) was a full participant at practice Wednesday.,2026-09-09 23:17:00,2026_week1_page1.txt
Will Johnson,ARI,Cleared,Logs full practice Wednesday,"Johnson (lower body) was a full participant in Wednesday's practice, Bo Brack of GoPHNX.com reports.",2026-09-09 23:34:00,2026_week1_page1.txt
