name,position,nfl_team,games,pass_yards,pass_td,pass_int,rush_yards,rush_td,receptions,rec_yards,rec_td,fumbles_lost,fg_made,xp_made,def_int,def_safeties,def_sacks,def_fumble_rec,def_td,points_allowed_per_game,yards_allowed_per_game
Josh Allen,QB,BUF,17.0,3718.0,30.0,13.0,611.0,11.0,,,,4.0,,,,,,,,,
Lamar Jackson,QB,BAL,17.0,3366.0,33.0,11.0,602.0,3.0,,,,4.0,,,,,,,,,
Dak Prescott,QB,DAL,17.0,4434.0,33.0,12.0,173.0,2.0,,,,2.0,,,,,,,,,
Trevor Lawrence,QB,JAC,17.0,3845.0,31.0,15.0,330.0,6.0,,,,3.0,,,,,,,,,
Jayden Daniels,QB,WAS,17.0,3424.0,26.0,12.0,744.0,5.0,,,,2.0,,,,,,,,,
Brock Purdy,QB,SF,17.0,4134.0,30.0,16.0,349.0,5.0,,,,5.0,,,,,,,,,
Caleb Williams,QB,CHI,17.0,3911.0,30.0,10.0,401.0,2.0,,,,2.0,,,,,,,,,
Joe Burrow,QB,CIN,17.0,4265.0,34.0,14.0,165.0,1.0,,,,1.0,,,,,,,,,
Drake Maye,QB,NE,17.0,3844.0,28.0,11.0,514.0,4.0,,,,6.0,,,,,,,,,
Jalen Hurts,QB,PHI,17.0,3375.0,26.0,6.0,490.0,8.0,,,,4.0,,,,,,,,,
Jaxson Dart,QB,NYG,17.0,3519.0,26.0,14.0,531.0,7.0,,,,2.0,,,,,,,,,
Patrick Mahomes,QB,KC,17.0,3685.0,29.0,12.0,436.0,4.0,,,,1.0,,,,,,,,,
Matthew Stafford,QB,LAR,17.0,4049.0,34.0,7.0,38.0,0.0,,,,2.0,,,,,,,,,
Jared Goff,QB,DET,17.0,4242.0,34.0,10.0,44.0,0.0,,,,4.0,,,,,,,,,
Justin Herbert,QB,LAC,17.0,3772.0,28.0,13.0,518.0,2.0,,,,2.0,,,,,,,,,
Baker Mayfield,QB,TB,17.0,3953.0,29.0,15.0,397.0,2.0,,,,3.0,,,,,,,,,
Daniel Jones,QB,IND,17.0,3846.0,30.0,11.0,167.0,3.0,,,,3.0,,,,,,,,,
Malik Willis,QB,MIA,17.0,3103.0,26.0,17.0,724.0,5.0,,,,6.0,,,,,,,,,
Kyler Murray,QB,MIN,17.0,3477.0,28.0,20.0,491.0,4.0,,,,4.0,,,,,,,,,
Bo Nix,QB,DEN,17.0,3507.0,27.0,10.0,306.0,3.0,,,,1.0,,,,,,,,,
Sam Darnold,QB,SEA,17.0,4129.0,32.0,14.0,145.0,0.0,,,,6.0,,,,,,,,,
C.J. Stroud,QB,HOU,17.0,3924.0,28.0,12.0,249.0,1.0,,,,3.0,,,,,,,,,
Tyler Shough,QB,NO,17.0,4012.0,24.0,14.0,327.0,4.0,,,,4.0,,,,,,,,,
