name,position,nfl_team,games,pass_yards,pass_td,pass_int,pass_two_pt,rush_yards,rush_td,rush_two_pt,receptions,rec_yards,rec_td,rec_two_pt,fumbles_lost,off_fumble_rec_td,fumble_rec_two_pt,fg_made,xp_made,xp_missed,kick_return_td,punt_return_td,def_sacks,def_int,def_fumble_rec,def_td,def_blocked_fg,def_blocked_punt,def_blocked_xp,def_safeties,points_allowed_per_game,yards_allowed_per_game
Josh Allen,QB,BUF,15.0,3585.0,24.6,11.0,,523.0,9.2,,,,,,,,,,,,,,,,,,,,,,,
Lamar Jackson,QB,BLT,15.0,3528.0,24.0,9.0,,668.0,3.5,,,,,,,,,,,,,,,,,,,,,,,
Jayden Daniels,QB,WAS,15.0,3287.0,19.8,8.0,,807.0,4.8,,,,,,,,,,,,,,,,,,,,,,,
Drake Maye,QB,NE,15.0,3728.0,25.3,10.0,,507.0,3.2,,,,,,,,,,,,,,,,,,,,,,,
Jalen Hurts,QB,PHI,15.0,3354.0,21.7,7.0,,502.0,7.1,,,,,,,,,,,,,,,,,,,,,,,
Joe Burrow,QB,CIN,15.0,3971.0,31.0,11.0,,173.0,1.5,,,,,,,,,,,,,,,,,,,,,,,
Dak Prescott,QB,DAL,15.0,4058.0,29.3,12.0,,188.0,1.9,,,,,,,,,,,,,,,,,,,,,,,
Trevor Lawrence,QB,JAX,15.0,3665.0,23.7,12.0,,296.0,4.3,,,,,,,,,,,,,,,,,,,,,,,
Justin Herbert,QB,LAC,15.0,3783.0,25.2,10.0,,306.0,1.8,,,,,,,,,,,,,,,,,,,,,,,
Brock Purdy,QB,SF,15.0,3720.0,27.1,14.0,,254.0,2.2,,,,,,,,,,,,,,,,,,,,,,,
Jaxson Dart,QB,NYG,14.5,3047.0,18.7,9.0,,559.0,5.6,,,,,,,,,,,,,,,,,,,,,,,
Caleb Williams,QB,CHI,15.0,3623.0,23.7,10.0,,336.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
Matthew Stafford,QB,LA,15.0,4015.0,29.5,10.0,,23.0,0.4,,,,,,,,,,,,,,,,,,,,,,,
Bo Nix,QB,DEN,15.0,3584.0,23.8,11.0,,308.0,2.3,,,,,,,,,,,,,,,,,,,,,,,
Patrick Mahomes,QB,KC,15.0,3680.0,24.8,11.0,,311.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Malik Willis,QB,MIA,15.0,2814.0,16.5,11.0,,758.0,4.2,,,,,,,,,,,,,,,,,,,,,,,
Tyler Shough,QB,NO,15.0,3695.0,20.8,10.0,,299.0,2.9,,,,,,,,,,,,,,,,,,,,,,,
Jared Goff,QB,DET,15.0,3958.0,27.1,8.0,,44.0,0.3,,,,,,,,,,,,,,,,,,,,,,,
Kyler Murray,QB,MIN,14.0,3252.0,20.9,9.0,,415.0,2.7,,,,,,,,,,,,,,,,,,,,,,,
Jordan Love,QB,GB,15.0,3546.0,24.7,8.0,,181.0,1.2,,,,,,,,,,,,,,,,,,,,,,,
