name,position,nfl_team,games,pass_yards,pass_td,pass_int,rush_yards,rush_td,fumbles_lost,receptions,rec_yards,rec_td,fg_made,xp_made,def_sacks,def_int,def_fumble_rec,def_td,def_safeties,points_allowed_per_game,yards_allowed_per_game
Josh Allen,QB,BUF,17,3817.1,27.4,11.2,586.0,11.8,4.1,,,,,,,,,,,,
Lamar Jackson,QB,BAL,17,3652.5,28.3,9.6,639.7,3.2,4.2,,,,,,,,,,,,
Drake Maye,QB,NE,17,4026.7,28.0,10.4,493.0,3.7,5.6,,,,,,,,,,,,
Jayden Daniels,QB,WAS,17,3681.6,23.8,11.0,685.3,4.7,2.8,,,,,,,,,,,,
Jalen Hurts,QB,PHI,17,3569.9,24.2,7.4,461.3,8.4,4.0,,,,,,,,,,,,
Joe Burrow,QB,CIN,17,4175.0,33.3,11.6,178.6,1.4,1.9,,,,,,,,,,,,
Jaxson Dart,QB,NYG,17,3591.5,22.3,11.1,549.1,6.5,2.9,,,,,,,,,,,,
Brock Purdy,QB,SF,17,4157.9,27.7,14.3,304.1,3.8,4.3,,,,,,,,,,,,
Trevor Lawrence,QB,JAC,17,3908.5,27.0,13.0,321.9,4.9,3.4,,,,,,,,,,,,
Dak Prescott,QB,DAL,17,4291.9,30.9,11.3,173.4,1.7,2.8,,,,,,,,,,,,
Jahmyr Gibbs,RB,DET,17,,,,1381.2,13.8,1.1,71.3,580.6,4.1,,,,,,,,,
Bijan Robinson,RB,ATL,17,,,,1426.1,9.5,1.8,79.3,735.9,3.5,,,,,,,,,
Christian McCaffrey,RB,SF,17,,,,1093.6,8.7,1.1,78.4,693.0,4.6,,,,,,,,,
Jonathan Taylor,RB,IND,17,,,,1504.6,12.9,1.7,42.9,341.5,1.5,,,,,,,,,
Derrick Henry,RB,BAL,17,,,,1568.5,13.4,1.7,18.1,175.1,0.7,,,,,,,,,
De'Von Achane,RB,MIA,17,,,,1199.8,6.0,1.0,65.3,490.7,4.0,,,,,,,,,
James Cook III,RB,BUF,17,,,,1405.1,10.3,2.4,33.3,283.7,1.9,,,,,,,,,
Chase Brown,RB,CIN,17,,,,1036.8,7.8,1.1,63.8,427.6,4.0,,,,,,,,,
Saquon Barkley,RB,PHI,17,,,,1299.1,8.2,1.0,41.7,330.4,2.1,,,,,,,,,
Kenneth Walker III,RB,KC,17,,,,1191.4,8.7,0.9,45.8,352.8,1.2,,,,,,,,,
Puka Nacua,WR,LAR,17,,,,85.0,1.4,1.0,117.0,1539.0,9.0,,,,,,,,,
Ja'Marr Chase,WR,CIN,17,,,,17.0,0.0,1.0,121.2,1511.6,10.6,,,,,,,,,
Jaxon Smith-Njigba,WR,SEA,17,,,,30.4,0.1,1.1,110.9,1569.7,9.5,,,,,,,,,
Amon-Ra St. Brown,WR,DET,17,,,,11.8,0.0,0.4,117.4,1390.2,10.5,,,,,,,,,
Drake London,WR,ATL,17,,,,0.0,0.0,1.0,101.7,1327.6,9.1,,,,,,,,,
Rashee Rice,WR,KC,17,,,,25.6,0.9,0.6,99.1,1101.0,9.7,,,,,,,,,
CeeDee Lamb,WR,DAL,17,,,,12.6,0.0,0.3,97.5,1295.8,7.5,,,,,,,,,
Justin Jefferson,WR,MIN,17,,,,5.5,0.0,0.3,98.6,1310.9,7.1,,,,,,,,,
Chris Olave,WR,NO,17,,,,0.0,0.0,0.3,95.4,1195.5,7.9,,,,,,,,,
A.J. Brown,WR,NE,17,,,,0.0,0.0,0.3,87.7,1231.4,7.7,,,,,,,,,
Trey McBride,TE,ARI,17,,,,,,0.2,108.9,1050.8,6.8,,,,,,,,,
Brock Bowers,TE,LV,17,,,,,,0.2,97.0,1022.9,7.5,,,,,,,,,
Colston Loveland,TE,CHI,17,,,,,,0.2,79.1,927.5,6.7,,,,,,,,,
Tyler Warren,TE,IND,17,,,,,,0.3,79.0,878.1,5.5,,,,,,,,,
Kyle Pitts Sr.,TE,ATL,17,,,,,,0.1,79.5,880.9,4.7,,,,,,,,,
Harold Fannin Jr.,TE,CLE,17,,,,,,0.8,79.7,816.7,5.4,,,,,,,,,
Tucker Kraft,TE,GB,17,,,,,,0.2,61.5,785.8,6.5,,,,,,,,,
George Kittle,TE,SF,17,,,,,,0.2,67.9,771.4,6.1,,,,,,,,,
Dallas Goedert,TE,PHI,17,,,,,,0.2,65.5,688.9,7.6,,,,,,,,,
Sam LaPorta,TE,DET,17,,,,,,0.2,68.4,787.5,5.5,,,,,,,,,
