name,games,pass_yards,pass_td,pass_int,rush_yards,rush_td,position,nfl_team,receptions,rec_yards,rec_td,fg_made,xp_made,def_sacks,def_fumble_rec,def_int,def_td,def_safeties,points_allowed_per_game,yards_allowed_per_game
Josh Allen,17,3787.0,26.0,9.0,567.0,12.0,QB,BUF,,,,,,,,,,,,
Drake Maye,17,4140.0,29.0,9.0,433.0,3.0,QB,NE,,,,,,,,,,,,
Lamar Jackson,17,3704.0,26.0,8.0,646.0,3.0,QB,BAL,,,,,,,,,,,,
Jayden Daniels,17,3770.0,23.0,11.0,642.0,4.0,QB,WAS,,,,,,,,,,,,
Jalen Hurts,17,3556.0,23.0,7.0,456.0,8.0,QB,PHI,,,,,,,,,,,,
Bo Nix,17,3850.0,27.0,12.0,362.0,4.0,QB,DEN,,,,,,,,,,,,
Joe Burrow,17,4128.0,33.0,10.0,182.0,1.0,QB,CIN,,,,,,,,,,,,
Brock Purdy,17,4159.0,26.0,13.0,286.0,3.0,QB,SF,,,,,,,,,,,,
Caleb Williams,17,3871.0,27.0,8.0,412.0,2.0,QB,CHI,,,,,,,,,,,,
Dak Prescott,17,4329.0,30.0,10.0,161.0,1.0,QB,DAL,,,,,,,,,,,,
Jaxson Dart,17,3570.0,20.0,9.0,564.0,6.0,QB,NYG,,,,,,,,,,,,
Justin Herbert,17,3952.0,25.0,11.0,427.0,2.0,QB,LAC,,,,,,,,,,,,
Trevor Lawrence,17,3948.0,25.0,11.0,301.0,4.0,QB,JAC,,,,,,,,,,,,
Jared Goff,17,4459.0,32.0,10.0,50.0,0.0,QB,DET,,,,,,,,,,,,
Tyler Shough,17,3951.0,22.0,10.0,377.0,4.0,QB,NO,,,,,,,,,,,,
Patrick Mahomes,17,3831.0,26.0,11.0,315.0,3.0,QB,KC,,,,,,,,,,,,
Kyler Murray,17,3672.0,23.0,12.0,494.0,3.0,QB,MIN,,,,,,,,,,,,
Matthew Stafford,17,4242.0,33.0,9.0,22.0,0.0,QB,LAR,,,,,,,,,,,,
Baker Mayfield,17,3750.0,24.0,12.0,366.0,1.0,QB,TB,,,,,,,,,,,,
Malik Willis,17,3450.0,15.0,10.0,657.0,4.0,QB,MIA,,,,,,,,,,,,
Sam Darnold,17,4130.0,26.0,13.0,125.0,1.0,QB,SEA,,,,,,,,,,,,
Jordan Love,17,3856.0,26.0,10.0,185.0,1.0,QB,GB,,,,,,,,,,,,
Daniel Jones,17,3688.0,21.0,12.0,278.0,3.0,QB,IND,,,,,,,,,,,,
Bryce Young,17,3355.0,22.0,10.0,229.0,3.0,QB,CAR,,,,,,,,,,,,
C.J. Stroud,17,3759.0,21.0,10.0,218.0,1.0,QB,HOU,,,,,,,,,,,,
Geno Smith,17,3619.0,21.0,14.0,157.0,1.0,QB,NYJ,,,,,,,,,,,,
Cam Ward,17,3662.0,19.0,11.0,207.0,1.0,QB,TEN,,,,,,,,,,,,
Aaron Rodgers,17,3649.0,23.0,8.0,80.0,0.0,QB,PIT,,,,,,,,,,,,
Jacoby Brissett,17,3645.0,19.0,10.0,178.0,1.0,QB,ARI,,,,,,,,,,,,
Fernando Mendoza,17,2979.0,15.0,10.0,217.0,1.0,QB,LV,,,,,,,,,,,,
Tua Tagovailoa,17,2544.0,13.0,7.0,42.0,0.0,QB,ATL,,,,,,,,,,,,
Deshaun Watson,17,2045.0,10.0,7.0,189.0,1.0,QB,CLE,,,,,,,,,,,,
Shedeur Sanders,17,1798.0,10.0,8.0,182.0,1.0,QB,CLE,,,,,,,,,,,,
Michael Penix Jr.,17,1555.0,8.0,4.0,46.0,0.0,QB,ATL,,,,,,,,,,,,
Kirk Cousins,17,844.0,6.0,5.0,7.0,0.0,QB,LV,,,,,,,,,,,,
Carson Beck,17,449.0,3.0,2.0,24.0,0.0,QB,ARI,,,,,,,,,,,,
