"","","","","Projection","","","","","Defense","","","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","SACK","INT","FR","DTD","STD"
"1","Houston Texans","DST","HST","8","103.0","17","6.06","1","45.0","14.4","8.9","1.9","0.0"
"2","Los Angeles Rams","DST","LA","11","102.7","17","6.04","1","45.3","14.3","8.7","1.9","0.0"
"3","Seattle Seahawks","DST","SEA","11","101.3","17","5.96","1","45.6","13.4","8.9","1.8","0.0"
"4","Denver Broncos","DST","DEN","10","100.5","17","5.91","1","45.6","13.2","8.8","1.8","0.0"
"5","Philadelphia Eagles","DST","PHI","10","100.3","17","5.90","1","44.6","13.5","8.8","1.8","0.0"
"6","Jacksonville Jaguars","DST","JAX","7","100.2","17","5.89","1","44.9","13.4","8.7","1.8","0.0"
"7","Minnesota Vikings","DST","MIN","6","98.0","17","5.76","1","42.4","13.5","8.7","1.8","0.0"
"8","New England Patriots","DST","NE","11","97.3","17","5.72","1","43.2","12.9","8.8","1.8","0.0"
"9","Kansas City Chiefs","DST","KC","5","97.2","17","5.72","1","42.2","13.3","8.8","1.8","0.0"
"10","Green Bay Packers","DST","GB","11","96.4","17","5.67","2","43.1","12.7","8.6","1.7","0.0"
"11","Los Angeles Chargers","DST","LAC","7","96.1","17","5.65","2","42.2","12.9","8.7","1.8","0.0"
"12","Pittsburgh Steelers","DST","PIT","9","95.8","17","5.63","2","41.7","13.1","8.5","1.8","0.0"
"13","New Orleans Saints","DST","NO","8","95.7","17","5.63","2","41.5","13.2","8.5","1.8","0.0"
"14","Baltimore Ravens","DST","BLT","13","94.8","17","5.58","2","41.3","13.0","8.5","1.7","0.0"
"15","Buffalo Bills","DST","BUF","7","94.6","17","5.57","2","42.6","12.2","8.6","1.7","0.0"
"16","Carolina Panthers","DST","CAR","5","94.5","17","5.56","2","41.1","12.8","8.5","1.7","0.0"
"17","Indianapolis Colts","DST","IND","13","94.0","17","5.53","2","42.2","12.3","8.4","1.7","0.0"
"18","San Francisco 49ers","DST","SF","8","93.7","17","5.51","2","41.2","12.5","8.6","1.7","0.0"
"19","Atlanta Falcons","DST","ATL","11","93.2","17","5.48","2","41.3","12.3","8.5","1.7","0.0"
"20","Detroit Lions","DST","DET","6","91.6","17","5.39","2","40.4","12.1","8.4","1.7","0.0"
"21","Tampa Bay Buccaneers","DST","TB","10","90.9","17","5.35","2","39.5","12.2","8.4","1.7","0.0"
"22","New York Giants","DST","NYG","8","90.1","17","5.30","3","39.1","12.1","8.3","1.7","0.0"
"23","Chicago Bears","DST","CHI","10","89.6","17","5.27","3","38.0","12.3","8.4","1.7","0.0"
"24","Washington Commanders","DST","WAS","7","89.1","17","5.24","3","38.7","11.9","8.3","1.6","0.0"
"25","Las Vegas Raiders","DST","LV","13","88.1","17","5.18","3","38.3","11.6","8.3","1.6","0.0"
"26","Miami Dolphins","DST","MIA","6","87.8","17","5.16","3","38.4","11.4","8.4","1.6","0.0"
"27","Cleveland Browns","DST","CLV","11","87.0","17","5.12","3","37.7","11.2","8.5","1.6","0.0"
"28","Tennessee Titans","DST","TEN","9","86.0","17","5.06","3","37.5","11.3","8.2","1.6","0.0"
"29","Dallas Cowboys","DST","DAL","14","85.2","17","5.01","3","37.1","11.2","8.0","1.6","0.0"
"30","Cincinnati Bengals","DST","CIN","6","84.7","17","4.98","3","36.5","11.2","8.1","1.6","0.0"
"31","Arizona Cardinals","DST","ARZ","14","82.9","17","4.88","4","35.8","10.8","8.1","1.5","0.0"
"32","New York Jets","DST","NYJ","13","81.3","17","4.78","4","35.2","10.4","8.1","1.5","0.0"
