"","","","","Projection","","","","","Extra Points","","","Field Goals","","","","","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","XPA","XPM","MISS","FGA","FGM","MISS","0-29","30-39","40-49","50+"
"1","Brandon Aubrey","K","DAL","14","136.9","17","8.05","1","45.7","43.9","1.8","36.3","31.0","5.3","7.9","10.2","10.1","7.3"
"2","Jake Bates","K","DET","6","135.7","17","7.98","1","49.6","47.7","2.0","34.6","29.3","5.3","7.5","9.7","9.6","7.4"
"3","Harrison Mevis","K","LA","11","132.9","17","7.82","1","48.7","47.2","1.5","33.1","28.6","4.5","7.2","9.2","9.2","7.4"
"4","Cairo Santos","K","CHI","10","131.1","17","7.71","1","40.8","39.0","1.8","35.4","30.7","4.7","7.7","9.9","9.8","8.0"
"5","Jason Myers","K","SEA","11","130.7","17","7.69","1","40.1","38.5","1.5","36.1","30.7","5.3","7.8","10.0","10.0","8.0"
"6","Eddy Pineiro","K","SF","8","130.6","17","7.69","1","44.0","41.8","2.3","33.5","29.6","3.9","7.3","9.3","9.2","7.9"
"7","Tyler Bass","K","BUF","7","130.6","17","7.68","1","48.9","46.7","2.2","32.3","28.0","4.4","7.0","9.0","9.0","7.6"
"8","Ka'imi Fairbairn","K","HST","8","130.5","17","7.67","1","37.0","35.4","1.6","36.8","31.7","5.1","8.0","10.3","10.3","7.8"
"9","Cameron Dicker","K","LAC","7","130.3","17","7.67","1","39.7","38.2","1.6","35.0","30.7","4.2","7.6","9.8","9.7","8.0"
"10","Spencer Shrader","K","IND","13","130.2","17","7.66","1","43.2","41.9","1.3","34.4","29.4","4.9","7.4","9.6","9.5","7.7"
"11","Tyler Loop","K","BLT","13","130.0","17","7.65","1","43.7","42.0","1.8","34.3","29.3","4.9","7.4","9.5","9.5","8.2"
"12","Harrison Butker","K","KC","5","129.5","17","7.62","1","40.8","39.2","1.6","34.7","30.1","4.6","7.5","9.7","9.7","7.7"
"13","Cam Little","K","JAX","7","128.7","17","7.57","1","43.2","41.8","1.4","33.8","29.0","4.8","7.3","9.5","9.4","7.3"
"14","Trey Smack","K","GB","11","127.8","17","7.52","1","43.0","41.1","1.9","33.7","28.9","4.8","7.3","9.4","9.3","7.6"
"15","Chase McLaughlin","K","TB","10","127.7","17","7.51","1","39.0","37.6","1.4","35.0","30.0","5.0","7.6","9.8","9.8","7.3"
"16","Jake Elliott","K","PHI","10","127.6","17","7.50","1","43.6","42.0","1.6","33.0","28.5","4.5","7.2","9.2","9.2","7.5"
"17","Nick Folk","K","ATL","11","127.2","17","7.48","1","36.1","34.4","1.7","35.3","30.9","4.3","7.6","9.9","9.8","7.9"
"18","Evan McPherson","K","CIN","6","126.9","17","7.46","2","45.1","43.3","1.8","32.6","27.9","4.7","7.1","9.1","9.0","6.9"
"19","Wil Lutz","K","DEN","10","125.5","17","7.38","2","38.6","37.3","1.3","34.0","29.4","4.7","7.4","9.4","9.5","7.7"
"20","Will Reichard","K","MIN","6","124.6","17","7.33","2","36.8","35.6","1.1","34.6","29.7","4.9","7.5","9.7","9.7","6.8"
"21","Charlie Smyth","K","NO","8","124.6","17","7.33","2","34.3","33.1","1.2","36.1","30.5","5.7","7.8","10.1","10.0","8.0"
"22","Andy Borregales","K","NE","11","123.7","17","7.28","2","41.6","40.0","1.6","32.8","27.9","4.9","7.1","9.2","9.1","7.8"
"23","Drew Stevens","K","WAS","7","120.7","17","7.10","2","36.7","35.0","1.6","33.3","28.6","4.7","7.2","9.3","9.2","7.6"
"24","Chris Boswell","K","PIT","9","120.4","17","7.08","2","36.4","35.1","1.3","33.0","28.4","4.6","7.1","9.3","9.1","7.0"
"25","Chad Ryland","K","ARZ","14","120.3","17","7.07","2","36.6","35.3","1.3","33.3","28.3","5.0","7.2","9.3","9.2","7.5"
"26","Dominic Zvada","K","NYG","8","117.9","17","6.94","2","37.4","35.7","1.7","31.9","27.4","4.5","6.9","8.9","8.9","7.2"
"27","Matt Gay","K","LV","13","117.9","17","6.93","2","36.0","34.7","1.2","32.2","27.7","4.5","7.0","9.0","9.0","6.9"
"28","Joey Slye","K","TEN","9","117.1","17","6.89","2","30.9","29.2","1.7","34.3","29.3","5.0","7.4","9.6","9.5","7.4"
"29","Cade York","K","NYJ","13","114.9","17","6.76","3","32.3","32.1","0.2","32.2","27.6","4.6","7.0","8.9","9.0","7.3"
"30","Riley Patterson","K","MIA","6","113.8","17","6.69","3","31.7","30.5","1.2","31.8","27.8","4.0","6.9","8.8","8.8","7.6"
"31","Ryan Fitzgerald","K","CAR","5","112.2","17","6.60","3","33.0","30.9","2.1","32.1","27.1","4.9","6.9","8.9","8.9","7.4"
"32","Andre Szmyt","K","CLV","11","110.9","17","6.53","3","30.4","29.1","1.3","31.9","27.3","4.6","6.9","8.8","8.9","7.1"
