"","","","","Projection","","","","","Draft","","Passing","","","","","Rushing","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","POS","ADP","ATT","CMP","YDS","TD","INT","ATT","YDS","TD"
"1","Josh Allen","QB","BUF","7","335.9","15","22.39","1","1","22.8","466","311","3585","24.6","11","106","523","9.2"
"2","Lamar Jackson","QB","BLT","13","312.2","15","20.81","2","2","31.2","434","283","3528","24.0","9","121","668","3.5"
"3","Jayden Daniels","QB","WAS","7","309.0","15","20.60","2","6","63.8","435","282","3287","19.8","8","132","807","4.8"
"4","Drake Maye","QB","NE","11","306.0","15","20.40","2","3","47.1","458","309","3728","25.3","10","94","507","3.2"
"5","Jalen Hurts","QB","PHI","10","303.4","15","20.22","2","5","60.9","458","301","3354","21.7","7","109","502","7.1"
"6","Joe Burrow","QB","CIN","6","295.7","15","19.71","3","4","51.7","543","368","3971","31.0","11","40","173","1.5"
"7","Dak Prescott","QB","DAL","14","295.5","15","19.70","3","8","78.1","536","360","4058","29.3","12","49","188","1.9"
"8","Trevor Lawrence","QB","JAX","7","282.3","15","18.82","3","12","100.9","501","319","3665","23.7","12","66","296","4.3"
"9","Justin Herbert","QB","LAC","7","280.6","15","18.71","4","9","82.9","514","340","3783","25.2","10","62","306","1.8"
"10","Brock Purdy","QB","SF","8","278.9","15","18.59","4","15","121.2","471","314","3720","27.1","14","57","254","2.2"
"11","Jaxson Dart","QB","NYG","8","273.7","14.5","18.88","4","10","90.6","428","274","3047","18.7","9","100","559","5.6"
"12","Caleb Williams","QB","CHI","10","272.9","15","18.19","4","7","71.3","506","308","3623","23.7","10","65","336","2.0"
"13","Matthew Stafford","QB","LA","11","271.6","15","18.10","4","11","95.4","522","340","4015","29.5","10","25","23","0.4"
"14","Bo Nix","QB","DEN","10","270.8","15","18.05","4","14","119.9","533","343","3584","23.8","11","69","308","2.3"
"15","Patrick Mahomes","QB","KC","5","269.9","15","17.99","4","13","106.3","511","333","3680","24.8","11","55","311","1.0"
"16","Malik Willis","QB","MIA","6","265.7","15","17.71","4","23","193.7","400","270","2814","16.5","11","114","758","4.2"
"17","Tyler Shough","QB","NO","8","264.9","15","17.66","5","22","183.8","523","348","3695","20.8","10","64","299","2.9"
"18","Jared Goff","QB","DET","6","262.4","15","17.49","5","16","133.8","513","346","3958","27.1","8","21","44","0.3"
"19","Kyler Murray","QB","MIN","6","259.6","14","18.54","5","19","159.5","463","310","3252","20.9","9","71","415","2.7"
"20","Jordan Love","QB","GB","11","255.3","15","17.02","5","18","148.8","470","303","3546","24.7","8","42","181","1.2"
"21","Baker Mayfield","QB","TB","10","251.4","15","16.76","5","17","141.3","489","308","3451","23.9","12","53","255","1.1"
"22","Sam Darnold","QB","SEA","11","247.2","15","16.48","6","20","175.4","470","307","3732","23.3","12","41","140","0.8"
"23","C.J. Stroud","QB","HST","8","246.8","15","16.45","6","24","203.8","493","315","3563","22.1","12","48","217","1.5"
"24","Daniel Jones","QB","IND","13","240.4","14","17.17","6","25","204.8","469","311","3407","20.3","10","50","189","2.7"
"25","Jacoby Brissett","QB","ARZ","14","230.3","14","16.45","7","34","243.0","469","303","3284","20.6","8","42","188","1.5"
"26","Geno Smith","QB","NYJ","13","222.9","15","14.86","7","90","999.0","479","317","3325","21.1","14","49","172","1.0"
"27","Bryce Young","QB","CAR","5","213.2","15","14.22","8","28","227.2","462","293","3026","18.9","10","46","224","1.1"
"28","Aaron Rodgers","QB","PIT","9","212.3","15","14.15","8","30","228.8","479","313","3136","21.8","8","19","69","0.4"
"29","Cam Ward","QB","TEN","9","209.8","15","13.99","8","26","212.6","504","316","3186","17.8","10","42","177","1.2"
"30","Deshaun Watson","QB","CLV","11","193.9","14","13.85","9","103","999.0","456","283","2808","16.8","12","46","245","0.8"
