"","","","","Projection","","","","","Draft","","Rushing","","","Receiving","","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","POS","ADP","ATT","YDS","TD","TGT","REC","YDS","TD"
"1","Jahmyr Gibbs","RB","DET","6","347.5","15","23.16","1","1","1.6","272","1353","13.5","79","65","479","3.2"
"2","Bijan Robinson","RB","ATL","11","338.0","15","22.53","1","2","2.5","293","1370","9.7","82","67","587","3.1"
"3","Jonathan Taylor","RB","IND","13","311.1","15","20.74","2","4","7.1","290","1372","13.7","57","47","346","1.9"
"4","Christian McCaffrey","RB","SF","8","296.3","14.5","20.43","2","3","5.0","247","981","8.4","80","66","547","4.6"
"5","James Cook","RB","BUF","7","273.7","15","18.25","3","5","10.1","277","1367","10.5","42","34","307","1.8"
"6","De'Von Achane","RB","MIA","6","272.5","15","18.17","3","6","12.3","241","1198","6.1","70","59","416","2.7"
"7","Saquon Barkley","RB","PHI","10","267.6","15","17.84","3","7","13.0","288","1288","9.9","52","41","292","1.8"
"8","Kenneth Walker III","RB","KC","5","243.9","15","16.26","4","11","19.7","243","1085","9.5","46","39","306","1.7"
"9","Derrick Henry","RB","BLT","13","243.9","15","16.26","4","12","20.5","276","1364","12.4","20","16","158","0.4"
"10","Chase Brown","RB","CIN","6","239.0","15","15.93","4","10","15.7","206","892","6.6","66","55","387","2.8"
"11","Breece Hall","RB","NYJ","13","232.6","15","15.50","4","16","33.1","242","1072","5.8","53","45","354","1.9"
"12","Josh Jacobs","RB","GB","11","229.7","14","16.41","4","15","31.0","247","1039","10.8","40","33","222","1.1"
"13","Omarion Hampton","RB","LAC","7","223.3","15","14.89","5","9","15.5","216","973","7.7","53","44","269","1.7"
"14","Ashton Jeanty","RB","LV","13","222.9","13","17.14","5","8","14.7","212","876","6.8","59","48","338","2.4"
"15","Javonte Williams","RB","DAL","14","221.4","15","14.76","5","17","35.0","246","1081","8.6","44","36","177","1.5"
"16","Kyren Williams","RB","LA","11","217.7","15","14.51","5","14","29.7","227","1043","8.9","38","31","218","1.4"
"17","David Montgomery","RB","HST","8","217.7","15","14.51","5","21","49.3","263","1115","8.6","37","30","218","0.7"
