"","","","","Projection","","","","","Draft","","Rushing","","","Receiving","","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","POS","ADP","ATT","YDS","TD","TGT","REC","YDS","TD"
"1","Brock Bowers","TE","LV","13","215.9","15","14.39","1","2","23.6","4","9","0.0","113","86","916","6.3"
"2","Trey McBride","TE","ARZ","14","201.7","15","13.45","1","1","21.5","0","0","0.0","119","91","776","5.6"
"3","Colston Loveland","TE","CHI","10","186.0","15","12.40","2","3","39.2","1","4","0.0","104","73","796","5.5"
"4","Tyler Warren","TE","IND","13","184.4","15","12.30","2","4","47.7","5","9","0.7","101","73","770","4.9"
"5","Kyle Pitts","TE","ATL","11","165.2","15","11.01","3","8","69.0","0","0","0.0","94","65","750","4.2"
"6","Sam LaPorta","TE","DET","6","163.5","14","11.68","3","5","59.1","0","0","0.0","81","63","697","5.1"
"7","Harold Fannin Jr.","TE","CLV","11","159.5","15","10.63","3","7","68.5","4","12","0.2","96","68","650","4.1"
"8","Travis Kelce","TE","KC","5","158.0","15","10.53","3","11","92.2","0","0","0.0","82","61","707","4.4"
"9","Dallas Goedert","TE","PHI","10","157.1","15","10.48","3","14","123.1","0","0","0.0","82","63","662","4.7"
"10","Jake Ferguson","TE","DAL","14","156.4","15","10.43","3","12","98.2","0","0","0.0","81","64","604","5.4"
"11","Tucker Kraft","TE","GB","11","153.2","14.5","10.56","3","6","63.8","2","6","0.0","77","58","619","5.4"
"12","George Kittle","TE","SF","8","152.0","13","11.69","3","10","91.2","1","2","0.0","72","56","645","5.3"
"13","Mark Andrews","TE","BLT","13","151.4","15","10.09","3","16","129.2","4","6","0.2","77","57","591","5.7"
"14","Juwan Johnson","TE","NO","8","150.1","15","10.01","4","23","187.2","0","0","0.0","83","63","665","3.5"
"15","Brenton Strange","TE","JAX","7","146.2","15","9.75","4","19","151.8","0","0","0.0","78","59","625","4.1"
"16","Dalton Schultz","TE","HST","8","136.5","15","9.10","4","24","191.5","0","0","0.0","76","57","581","3.6"
"17","Dalton Kincaid","TE","BUF","7","133.4","14.5","9.20","5","9","89.4","0","0","0.0","69","52","566","4.2"
"18","Hunter Henry","TE","NE","11","131.8","15","8.79","5","17","138.3","0","0","0.0","65","49","556","4.6"
"19","T.J. Hockenson","TE","MIN","6","131.3","15","8.75","5","20","164.0","0","0","0.0","75","57","519","3.7"
"20","Isaiah Likely","TE","NYG","8","125.6","15","8.38","5","13","109.9","0","0","0.0","68","51","554","3.4"
"21","Cade Otton","TE","TB","10","125.1","15","8.34","5","31","235.0","0","0","0.0","77","56","487","3.5"
"22","Charlie Kolar","TE","LAC","7","123.5","15","8.23","5","171","999.0","0","0","0.0","60","45","561","3.8"
"23","AJ Barner","TE","SEA","11","114.0","15","7.60","6","21","183.2","6","10","0.5","53","41","462","3.9"
"24","Chig Okonkwo","TE","WAS","7","111.1","15","7.40","6","22","186.7","0","0","0.0","56","42","513","2.9"
"25","Pat Freiermuth","TE","PIT","9","108.2","15","7.21","6","32","239.9","0","0","0.0","57","43","453","3.4"
"26","Gunnar Helm","TE","TEN","9","105.9","15","7.06","6","30","233.1","0","0","0.0","58","45","431","3.0"
"27","Evan Engram","TE","DEN","10","105.9","15","7.06","6","151","999.0","1","3","0.0","66","46","441","2.6"
"28","Jonnu Smith","TE","FA","","101.5","15","6.77","6","","1105.0","13","48","0.9","46","35","401","2.7"
"29","Greg Dulcich","TE","MIA","6","96.0","12","8.00","7","28","229.7","0","0","0.0","48","36","444","2.6"
"30","Michael Mayer","TE","LV","13","92.5","14","6.61","7","156","999.0","0","0","0.0","52","37","412","2.4"
"31","Kenyon Sadiq","TE","NYJ","13","92.2","14","6.59","7","18","151.0","0","0","0.0","50","38","397","2.6"
"32","Colby Parkinson","TE","LA","11","90.0","15","6.00","7","37","251.4","0","0","0.0","46","34","348","3.5"
"33","Mason Taylor","TE","NYJ","13","88.4","15","5.89","7","27","224.3","0","0","0.0","50","37","357","2.6"
"34","Mike Gesicki","TE","CIN","6","86.5","15","5.77","7","145","999.0","0","0","0.0","49","36","344","2.8"
"35","Theo Johnson","TE","NYG","8","83.3","14","5.95","7","29","232.2","0","0","0.0","47","32","358","2.6"
"36","Cole Kmet","TE","CHI","10","81.8","15","5.45","7","134","999.0","0","0","0.0","47","34","325","2.6"
"37","Darnell Washington","TE","PIT","9","80.8","15","5.39","8","158","999.0","0","0","0.0","43","33","342","2.4"
"38","Dawson Knox","TE","BUF","7","78.3","15","5.22","8","140","999.0","0","0","0.0","35","26","336","3.1"
"39","David Njoku","TE","LAC","7","69.6","14","4.97","8","25","205.8","0","0","0.0","38","28","283","2.2"
"40","Tyler Higbee","TE","LA","11","67.3","14","4.81","8","154","999.0","0","0","0.0","38","27","267","2.3"
"41","Terrance Ferguson","TE","LA","11","65.3","15","4.35","9","26","207.6","0","0","0.0","36","23","279","2.5"
"42","Darren Waller","TE","CAR","5","65.1","11","5.92","9","205","999.0","0","0","0.0","37","27","273","1.8"
"43","Noah Gray","TE","KC","5","62.3","15","4.16","9","173","999.0","0","0","0.0","37","28","255","1.5"
"44","Noah Fant","TE","NO","8","61.7","15","4.11","9","142","999.0","0","0","0.0","33","26","267","1.5"
"45","Oronde Gadsden II","TE","LAC","7","60.0","15","4.00","9","15","127.8","0","0","0.0","31","23","267","1.8"
"46","Elijah Arroyo","TE","SEA","11","56.8","15","3.79","9","199","999.0","0","0","0.0","32","24","239","1.5"
"47","Oscar Delp","TE","NO","8","55.8","15","3.72","9","182","999.0","0","0","0.0","33","24","231","1.4"
"48","Daniel Bellinger","TE","TEN","9","54.4","15","3.63","9","155","999.0","0","0","0.0","31","24","225","1.4"
"49","Elijah Higgins","TE","ARZ","14","53.5","15","3.56","9","118","999.0","0","0","0.0","27","21","261","1.1"
"50","Jake Tonges","TE","SF","8","52.4","15","3.49","9","33","241.4","0","0","0.0","26","19","209","2.0"
"51","Austin Hooper","TE","ATL","11","49.6","15","3.31","10","46","430.0","0","0","0.0","27","20","215","1.3"
"52","Tanner Hudson","TE","CIN","6","48.2","15","3.21","10","130","999.0","0","0","0.0","24","18","210","1.5"
"53","Drew Sample","TE","CIN","6","46.7","15","3.11","10","137","999.0","0","0","0.0","27","22","178","1.2"
"54","Eli Raridon","TE","NE","11","43.6","15","2.90","10","223","999.0","0","0","0.0","25","19","161","1.5"
