"","","","","Projection","","","","","Draft","","Rushing","","","Receiving","","",""
"RANK","NAME","Position","Team","BYE","FPTS","GP","FPTS/G","TIER","POS","ADP","ATT","YDS","TD","TGT","REC","YDS","TD"
"1","Puka Nacua","WR","LA","11","313.6","15","20.91","1","2","4.7","12","74","0.5","149","109","1456","8.2"
"2","Ja'Marr Chase","WR","CIN","6","285.1","15","19.01","2","1","3.0","3","18","0.0","146","102","1270","9.1"
"3","Jaxon Smith-Njigba","WR","SEA","11","275.3","15","18.35","2","3","6.4","3","15","0.0","131","92","1299","8.8"
"4","Amon-Ra St. Brown","WR","DET","6","266.9","15","17.80","3","4","7.1","3","19","0.1","138","95","1211","8.2"
"5","CeeDee Lamb","WR","DAL","14","252.3","15","16.82","3","5","9.0","2","13","0.1","132","88","1179","7.5"
"6","Justin Jefferson","WR","MIN","6","251.7","15","16.78","4","6","11.4","2","10","0.1","134","89","1161","7.6"
"7","Drake London","WR","ATL","11","233.9","15","15.59","5","7","17.4","0","0","0.0","134","86","1068","6.9"
"8","Rashee Rice","WR","KC","5","230.6","14.5","15.90","5","11","27.3","4","21","0.2","122","88","967","7.3"
"9","Chris Olave","WR","NO","8","228.3","15","15.22","5","13","30.4","1","7","0.0","132","87","1072","5.7"
"10","Nico Collins","WR","HST","8","224.2","15","14.94","5","10","25.3","1","4","0.0","124","79","1072","6.3"
"11","A.J. Brown","WR","NE","11","220.9","15","14.73","5","8","18.8","2","13","0.1","115","77","1035","6.5"
"12","Tee Higgins","WR","CIN","6","217.2","15","14.48","6","14","34.3","0","0","0.0","107","70","974","8.4"
"13","George Pickens","WR","DAL","14","217.2","14.5","14.98","6","9","23.6","2","9","0.1","112","75","1024","6.6"
"14","Garrett Wilson","WR","NYJ","13","217.1","15","14.47","6","20","45.7","2","10","0.0","126","83","966","6.2"
"15","DeVonta Smith","WR","PHI","10","212.0","15","14.13","6","15","36.4","0","0","0.0","118","79","962","6.1"
"16","Zay Flowers","WR","BLT","13","211.4","15","14.10","6","19","42.8","6","33","0.1","106","71","1030","5.6"
"17","Ladd McConkey","WR","LAC","7","206.5","15","13.77","6","17","38.9","0","0","0.0","114","75","953","6.2"
"18","Davante Adams","WR","LA","11","205.9","15","13.73","6","22","50.5","0","0","0.0","117","70","874","8.2"
"19","Malik Nabers","WR","NYG","8","204.6","14","14.62","6","12","28.6","0","0","0.0","117","74","950","6.0"
"20","Jameson Williams","WR","DET","6","196.2","15","13.08","7","26","58.4","6","32","0.2","90","58","974","6.1"
"21","Mike Evans","WR","SF","8","194.3","15","12.95","7","27","61.5","0","0","0.0","103","65","843","7.6"
"22","Emeka Egbuka","WR","TB","10","193.2","15","12.88","7","18","39.4","2","10","0.0","114","66","883","6.4"
"23","Terry McLaurin","WR","WAS","7","192.4","15","12.82","7","24","55.3","0","0","0.0","99","63","959","5.6"
"24","Tetairoa McMillan","WR","CAR","5","188.7","15","12.58","7","16","37.8","0","0","0.0","108","68","882","5.5"
"25","Jaylen Waddle","WR","DEN","10","188.6","15","12.58","7","21","46.2","2","10","0.0","105","66","888","5.5"
"26","Christian Watson","WR","GB","11","187.1","14","13.36","7","30","70.1","2","9","0.1","93","57","905","6.4"
"27","Parker Washington","WR","JAX","7","185.4","15","12.36","7","34","76.6","6","29","0.2","103","65","848","5.4"
"28","DJ Moore","WR","BUF","7","184.1","15","12.27","7","25","57.9","8","48","0.2","105","68","777","5.5"
"29","Rome Odunze","WR","CHI","10","183.0","15","12.20","7","28","65.8","0","0","0.0","111","63","841","6.0"
"30","Luther Burden III","WR","CHI","10","182.9","15","12.20","7","23","52.8","7","35","0.0","98","68","828","4.7"
"31","Michael Pittman","WR","PIT","9","181.6","15","12.11","7","41","102.5","0","0","0.0","117","78","723","5.3"
"32","Brian Thomas Jr.","WR","JAX","7","181.1","15","12.07","8","31","73.3","3","16","0.2","102","63","831","5.4"
"33","DK Metcalf","WR","PIT","9","180.4","15","12.03","8","32","74.7","1","8","0.0","104","65","809","5.7"
"34","Jakobi Meyers","WR","JAX","7","179.5","15","11.96","8","44","110.1","4","17","0.1","101","68","808","4.7"
"35","Stefon Diggs","WR","WAS","7","178.3","15","11.89","8","45","111.3","0","0","0.0","96","67","826","4.8"
"36","Quentin Johnston","WR","LAC","7","178.2","15","11.88","8","46","113.9","2","11","0.1","96","60","836","5.5"
"37","Courtland Sutton","WR","DEN","10","176.1","15","11.74","8","35","79.2","0","0","0.0","98","61","799","5.9"
"38","Carnell Tate","WR","TEN","9","168.1","15","11.21","8","29","66.3","0","0","0.0","104","67","770","4.2"
"39","Jordan Addison","WR","MIN","6","163.6","15","10.91","9","42","103.1","2","17","0.1","90","57","758","4.8"
"40","Jayden Reed","WR","GB","11","161.4","15","10.76","9","47","114.4","12","77","0.4","81","56","689","4.4"
"41","Chris Godwin Jr.","WR","TB","10","157.2","15","10.48","9","39","95.8","0","0","0.0","88","61","711","4.2"
"42","Marvin Harrison Jr.","WR","ARZ","14","155.5","15","10.37","4","33","75.5","0","0","0.0","102","60","692","4.4"
"43","Romeo Doubs","WR","NE","11","155.2","15","10.35","9","51","132.8","0","0","0.0","78","53","742","4.8"
"44","Josh Downs","WR","IND","13","150.0","15","10.00","9","43","107.1","1","7","0.0","87","60","665","3.9"
"45","Cooper Kupp","WR","SEA","11","148.6","15","9.90","10","77","221.9","0","1","0.0","78","54","738","3.5"
"46","Deebo Samuel Sr.","WR","SF","8","147.2","15","9.81","10","52","137.2","14","68","0.6","73","51","646","3.6"
"47","Michael Wilson","WR","ARZ","14","145.8","15","9.72","10","36","83.8","0","0","0.0","90","56","662","4.0"
"48","Xavier Worthy","WR","KC","5","144.3","15","9.62","10","53","139.2","13","75","0.4","81","50","602","4.0"
"49","Matthew Golden","WR","GB","11","137.2","15","9.15","10","50","127.9","7","36","0.1","68","44","649","4.1"
"50","Khalil Shakir","WR","BUF","7","136.9","15","9.13","10","54","140.8","1","4","0.0","75","56","615","3.2"
"51","Keenan Allen","WR","IND","13","136.4","15","9.09","10","69","196.9","0","0","0.0","85","58","588","3.3"
"52","Jalen Coker","WR","CAR","5","136.0","14","9.72","10","55","144.0","0","0","0.0","74","50","664","3.3"
"53","Makai Lemon","WR","PHI","10","135.0","15","9.00","10","38","87.8","0","0","0.0","78","52","612","3.8"
