name,position,nfl_team,adp,times_drafted,trials,drafted_pct
Jahmyr Gibbs,RB,DET,1.9,100,100,100.0
Josh Allen,QB,BUF,2.2,100,100,100.0
Bijan Robinson,RB,ATL,4.1,100,100,100.0
Joe Burrow,QB,CIN,4.5,100,100,100.0
Jonathan Taylor,RB,IND,5.9,100,100,100.0
Matthew Stafford,QB,LAR,6.8,100,100,100.0
Christian McCaffrey,RB,SF,7.8,100,100,100.0
Dak Prescott,QB,DAL,9.4,100,100,100.0
Amon-Ra St. Brown,WR,DET,9.5,100,100,100.0
Derrick Henry,RB,BAL,9.7,100,100,100.0
Saquon Barkley,RB,PHI,11.9,100,100,100.0
Jared Goff,QB,DET,12.3,100,100,100.0
Jaxon Smith-Njigba,WR,SEA,14.1,100,100,100.0
Kenneth Walker III,RB,KC,14.6,100,100,100.0
Lamar Jackson,QB,BAL,15.9,100,100,100.0
James Cook,RB,BUF,17.3,100,100,100.0
Ja'Marr Chase,WR,CIN,17.6,100,100,100.0
Caleb Williams,QB,CHI,19.2,100,100,100.0
Chase Brown,RB,CIN,19.6,100,100,100.0
Puka Nacua,WR,LAR,21.5,100,100,100.0
Jalen Hurts,QB,PHI,22.4,100,100,100.0
De'Von Achane,RB,MIA,22.6,100,100,100.0
Bucky Irving,RB,TB,25.0,100,100,100.0
Drake London,WR,ATL,25.4,100,100,100.0
Patrick Mahomes,QB,KC,26.1,100,100,100.0
Trey McBride,TE,ARI,27.0,100,100,100.0
Breece Hall,RB,NYJ,27.9,100,100,100.0
Davante Adams,WR,LAR,29.4,100,100,100.0
Justin Herbert,QB,LAC,29.6,100,100,100.0
Jeremiyah Love,RB,ARI,30.5,100,100,100.0
Drake Maye,QB,NE,32.7,100,100,100.0
Tee Higgins,WR,CIN,33.3,100,100,100.0
Kyren Williams,RB,LAR,33.4,100,100,100.0
Omarion Hampton,RB,LAC,36.0,100,100,100.0
Trevor Lawrence,QB,JAC,36.3,100,100,100.0
CeeDee Lamb,WR,DAL,37.2,100,100,100.0
Josh Jacobs,RB,GB,38.6,100,100,100.0
Jayden Daniels,QB,WAS,39.9,100,100,100.0
Justin Jefferson,WR,MIN,40.9,100,100,100.0
Javonte Williams,RB,DAL,41.4,100,100,100.0
Jaxson Dart,QB,NYG,42.8,100,100,100.0
Colston Loveland,TE,CHI,43.1,100,100,100.0
Mike Evans,WR,SF,44.3,100,100,100.0
Cam Skattebo,RB,NYG,44.7,100,100,100.0
Baker Mayfield,QB,TB,45.8,100,100,100.0
Ashton Jeanty,RB,LV,47.4,100,100,100.0
Nico Collins,WR,HOU,48.0,100,100,100.0
Tyler Shough,QB,NO,49.0,100,100,100.0
D'Andre Swift,RB,CHI,50.7,100,100,100.0
Emeka Egbuka,WR,TB,51.4,100,100,100.0
Brock Purdy,QB,SF,53.1,100,100,100.0
Tyler Warren,TE,IND,53.4,100,100,100.0
Bhayshul Tuten,RB,JAC,53.7,100,100,100.0
DJ Moore,WR,BUF,54.7,100,100,100.0
Jordan Love,QB,GB,56.8,100,100,100.0
Travis Etienne,RB,NO,57.5,100,100,100.0
Zay Flowers,WR,BAL,58.2,100,100,100.0
Jaylen Warren,RB,PIT,60.3,100,100,100.0
Sam Darnold,QB,SEA,60.6,100,100,100.0
Kyle Pitts,TE,ATL,61.3,100,100,100.0
Ladd McConkey,WR,LAC,61.5,100,100,100.0
Quinshon Judkins,RB,CLE,63.3,100,100,100.0
Malik Nabers,WR,NYG,64.3,100,100,100.0
Daniel Jones,QB,IND,64.5,100,100,100.0
David Montgomery,RB,HOU,66.3,100,100,100.0
Tetairoa McMillan,WR,CAR,67.7,100,100,100.0
Harold Fannin Jr.,TE,CLE,69.3,100,100,100.0
Kenneth Gainwell,RB,TB,69.3,100,100,100.0
C.J. Stroud,QB,HOU,69.9,100,100,100.0
Jaylen Waddle,WR,DEN,70.2,100,100,100.0
Tony Pollard,RB,TEN,72.2,100,100,100.0
Rashee Rice,WR,KC,73.1,100,100,100.0
Jadarian Price,RB,SEA,75.1,100,100,100.0
