year,timeframe,name,position,nfl_team,opp,bye_week,rost_pct,fpts
2026,restofseason,Spencer Shrader,K,IND,BAL,13,50.0,152.0
2026,restofseason,Falcons,DST,ATL,@PIT,11,35.0,136.3
2026,restofseason,Nick Folk,K,ATL,@PIT,11,15.0,131.0
2026,restofseason,Blake Grupe,K,NYJ,@TEN,13,18.0,122.0
2026,restofseason,Daniel Carlson,K,NO,@DET,8,6.0,122.0
2026,restofseason,Joey Slye,K,TEN,NYJ,9,12.0,120.0
2026,restofseason,Riley Patterson,K,MIA,@LV,6,2.0,119.0
2026,restofseason,Saints,DST,NO,@DET,8,24.0,118.2
2026,restofseason,Bills,DST,BUF,@HOU,7,35.0,117.9
2026,restofseason,Bengals,DST,CIN,TB,6,9.0,117.4
2026,restofseason,Jake Elliott,K,PHI,WAS,10,14.0,117.0
2026,restofseason,Drew Stevens,K,WAS,@PHI,7,3.0,116.0
2026,restofseason,Dolphins,DST,MIA,@LV,6,7.0,114.7
2026,restofseason,Titans,DST,TEN,NYJ,9,12.0,114.6
2026,restofseason,Chad Ryland,K,ARI,@LAC,14,4.0,113.0
2026,restofseason,Chris Boswell,K,PIT,ATL,9,28.0,110.0
2026,restofseason,Raiders,DST,LV,MIA,13,9.0,107.4
2026,restofseason,Buccaneers,DST,TB,@CIN,10,12.0,106.6
2026,restofseason,Commanders,DST,WAS,@PHI,7,5.0,103.9
2026,restofseason,Ryan Fitzgerald,K,CAR,CHI,5,2.0,103.0
2026,restofseason,Colts,DST,IND,BAL,13,9.0,102.9
2026,restofseason,Panthers,DST,CAR,CHI,5,6.0,100.7
2026,restofseason,Andre Szmyt,K,CLE,@JAC,11,2.0,100.0
2026,restofseason,Giants,DST,NYG,DAL,8,17.0,98.8
2026,restofseason,Matt Gay,K,LV,MIA,13,6.0,98.0
2026,restofseason,Cardinals,DST,ARI,@LAC,14,4.0,96.5
2026,restofseason,Jets,DST,NYJ,@TEN,13,7.0,92.1
2026,restofseason,Ben Sauls,K,NYG,DAL,8,1.0,77.0
2026,restofseason,Dominic Zvada,K,NYG,DAL,8,5.0,27.0
2026,restofseason,Elic Ayomanor,WR,TEN,NYJ,9,6.0,7.51
2026,restofseason,Calvin Ridley,WR,TEN,NYJ,9,32.0,7.01
2026,restofseason,Marquise Brown,WR,PHI,WAS,10,7.0,6.81
2026,restofseason,Darren Waller,TE,CAR,CHI,5,11.0,6.81
2026,restofseason,Jalen Nailor,WR,LV,MIA,13,25.0,6.81
