rank,name,position,nfl_team,opp,fpts,match_key
1,J. Gibbs,RB,DET,NO,23.1,J|gibbs|DET
2,P. Nacua,WR,LAR,SF,21.2,P|nacua|LAR
3,J. Allen,QB,BUF,HST,20.7,J|allen|BUF
4,J. Burrow,QB,CIN,TB,20.6,J|burrow|CIN
5,C. McCaffrey,RB,SF,LA,20.4,C|mccaffrey|SF
6,J. Taylor,RB,IND,BLT,20.3,J|taylor|IND
7,L. Jackson,QB,BAL,IND,20.1,L|jackson|BAL
8,J. Hurts,QB,PHI,WAS,20.0,J|hurts|PHI
9,J. Herbert,QB,LAC,ARZ,19.9,J|herbert|LAC
10,J. Dart,QB,NYG,DAL,19.8,J|dart|NYG
11,J. Chase,WR,CIN,TB,19.8,J|chase|CIN
12,B. Robinson,RB,ATL,PIT,19.6,B|robinson|ATL
13,J. Goff,QB,DET,NO,19.4,J|goff|DET
14,D. Achane,RB,MIA,LV,19.4,D|achane|MIA
15,B. Purdy,QB,SF,LA,19.3,B|purdy|SF
16,T. Lawrence,QB,JAC,CLV,19.2,T|lawrence|JAC
17,M. Stafford,QB,LAR,SF,19.0,M|stafford|LAR
18,K. Murray,QB,MIN,GB,19.0,K|murray|MIN
19,A. St. Brown,WR,DET,NO,18.8,A|st brown|DET
20,D. Henry,RB,BAL,IND,18.7,D|henry|BAL
21,D. Prescott,QB,DAL,NYG,18.7,D|prescott|DAL
22,D. Maye,QB,NE,SEA,18.5,D|maye|NE
23,J. Smith-Njigba,WR,SEA,NE,18.5,J|smith-njigba|SEA
24,A. Jeanty,RB,LV,MIA,18.2,A|jeanty|LV
25,T. Shough,QB,NO,DET,18.1,T|shough|NO
26,P. Mahomes,QB,KC,DEN,18.0,P|mahomes|KC
27,J. Daniels,QB,WAS,PHI,17.9,J|daniels|WAS
28,M. Willis,QB,MIA,LV,17.9,M|willis|MIA
29,C. Williams,QB,CHI,CAR,17.8,C|williams|CHI
30,S. Barkley,RB,PHI,WAS,17.7,S|barkley|PHI
31,B. Mayfield,QB,TB,CIN,17.4,B|mayfield|TB
32,B. Nix,QB,DEN,KC,17.0,B|nix|DEN
33,J. Love,QB,GB,MIN,16.9,J|love|GB
34,J. Williams,RB,DAL,NYG,16.8,J|williams|DAL
35,C. Stroud,QB,HOU,BUF,16.4,C|stroud|HOU
36,R. Stevenson,RB,NE,SEA,16.2,R|stevenson|NE
37,C. Olave,WR,NO,DET,16.2,C|olave|NO
38,O. Hampton,RB,LAC,ARZ,16.2,O|hampton|LAC
39,J. Jefferson,WR,MIN,GB,15.9,J|jefferson|MIN
40,S. Darnold,QB,SEA,NE,15.9,S|darnold|SEA
41,D. Jones,QB,IND,BLT,15.7,D|jones|IND
42,C. Lamb,WR,DAL,NYG,15.7,C|lamb|DAL
43,J. Brissett,QB,ARI,LAC,15.7,J|brissett|ARI
44,A. Rodgers,QB,PIT,ATL,15.4,A|rodgers|PIT
45,C. Brown,RB,CIN,TB,15.3,C|brown|CIN
46,D. London,WR,ATL,PIT,15.3,D|london|ATL
47,J. Cook,RB,BUF,HST,15.3,J|cook|BUF
48,B. Young,QB,CAR,CHI,15.3,B|young|CAR
49,G. Smith,QB,NYJ,TEN,15.2,G|smith|NYJ
50,K. Walker III,RB,KC,DEN,15.1,K|walker|KC
51,L. McConkey,WR,LAC,ARZ,15.0,L|mcconkey|LAC
52,R. Rice,WR,KC,DEN,14.9,R|rice|KC
53,T. Etienne,RB,NO,DET,14.9,T|etienne|NO
54,C. Ward,QB,TEN,NYJ,14.9,C|ward|TEN
55,D. Smith,WR,PHI,WAS,14.8,D|smith|PHI
56,M. Nabers,WR,NYG,DAL,14.7,M|nabers|NYG
57,Z. Flowers,WR,BAL,IND,14.7,Z|flowers|BAL
58,T. Higgins,WR,CIN,TB,14.7,T|higgins|CIN
59,G. Pickens,WR,DAL,NYG,14.7,G|pickens|DAL
60,A. Brown,WR,NE,SEA,14.5,A|brown|NE
61,D. Montgomery,RB,HOU,BUF,14.3,D|montgomery|HOU
62,N. Collins,WR,HOU,BUF,14.2,N|collins|HOU
63,B. Bowers,TE,LV,MIA,14.2,B|bowers|LV
64,K. Cousins,QB,LV,MIA,14.1,K|cousins|LV
65,D. Adams,WR,LAR,SF,14.0,D|adams|LAR
66,B. Hall,RB,NYJ,TEN,13.9,B|hall|NYJ
67,T. Tagovailoa,QB,ATL,PIT,13.8,T|tagovailoa|ATL
68,G. Wilson,WR,NYJ,TEN,13.8,G|wilson|NYJ
69,M. Evans,WR,SF,LA,13.7,M|evans|SF
70,K. Williams,RB,LAR,SF,13.6,K|williams|LAR
71,D. Watson,QB,CLE,JAX,13.5,D|watson|CLE
72,B. Irving,RB,TB,CIN,13.5,B|irving|TB
73,D. Swift,RB,CHI,CAR,13.5,D|swift|CHI
74,T. McBride,TE,ARI,LAC,13.1,T|mcbride|ARI
75,C. Skattebo,RB,NYG,DAL,13.0,C|skattebo|NYG
76,J. Waddle,WR,DEN,KC,13.0,J|waddle|DEN
77,C. Watson,WR,GB,MIN,12.9,C|watson|GB
78,T. McMillan,WR,CAR,CHI,12.8,T|mcmillan|CAR
79,S. LaPorta,TE,DET,NO,12.8,S|laporta|DET
80,J. Price,RB,SEA,NE,12.7,J|price|SEA
81,E. Egbuka,WR,TB,CIN,12.7,E|egbuka|TB
82,M. Harrison Jr.,WR,ARI,LAC,12.5,M|harrison|ARI
83,J. Williams,WR,DET,NO,12.5,J|williams|DET
84,A. Jones,RB,MIN,GB,12.3,A|jones|MIN
85,Q. Judkins,RB,CLE,JAX,12.3,Q|judkins|CLE
86,Q. Johnston,WR,LAC,ARZ,12.3,Q|johnston|LAC
87,M. Pittman,WR,PIT,ATL,12.1,M|pittman|PIT
88,D. Metcalf,WR,PIT,ATL,12.1,D|metcalf|PIT
89,J. Warren,RB,PIT,ATL,12.0,J|warren|PIT
90,T. Warren,TE,IND,BLT,11.8,T|warren|IND
91,P. Washington,WR,JAC,CLV,11.7,P|washington|JAC
92,C. Sutton,WR,DEN,KC,11.6,C|sutton|DEN
93,J. Love,RB,ARI,LAC,11.6,J|love|ARI
94,B. Tuten,RB,JAC,CLV,11.6,B|tuten|JAC
95,T. Pollard,RB,TEN,NYJ,11.6,T|pollard|TEN
96,R. Dowdle,RB,PIT,ATL,11.5,R|dowdle|PIT
97,T. McLaurin,WR,WAS,PHI,11.5,T|mclaurin|WAS
98,T. Kelce,TE,KC,DEN,11.5,T|kelce|KC
99,J. Meyers,WR,JAC,CLV,11.2,J|meyers|JAC
100,C. Hubbard,RB,CAR,CHI,11.1,C|hubbard|CAR
101,C. Tate,WR,TEN,NYJ,11.1,C|tate|TEN
102,L. Burden III,WR,CHI,CAR,11.1,L|burden|CHI
103,B. Thomas Jr.,WR,JAC,CLV,11.0,B|thomas|JAC
104,D. Moore,WR,BUF,HST,10.9,D|moore|BUF
105,J. Dobbins,RB,DEN,KC,10.9,J|dobbins|DEN
106,X. Worthy,WR,KC,DEN,10.9,X|worthy|KC
107,M. Lloyd,RB,GB,MIN,10.9,M|lloyd|GB
108,J. Reed,WR,GB,MIN,10.8,J|reed|GB
109,J. Addison,WR,MIN,GB,10.8,J|addison|MIN
110,J. Coker,WR,CAR,CHI,10.8,J|coker|CAR
111,J. Johnson,TE,NO,DET,10.7,J|johnson|NO
112,K. Pitts,TE,ATL,PIT,10.7,K|pitts|ATL
113,C. Godwin Jr.,WR,TB,CIN,10.6,C|godwin|TB
114,R. Odunze,WR,CHI,CAR,10.6,R|odunze|CHI
115,C. Loveland,TE,CHI,CAR,10.4,C|loveland|CHI
116,M. Wilson,WR,ARI,LAC,10.3,M|wilson|ARI
117,J. Brooks,RB,CAR,CHI,10.2,J|brooks|CAR
118,W. Robinson,WR,TEN,NYJ,10.2,W|robinson|TEN
119,T. Kraft,TE,GB,MIN,10.1,T|kraft|GB
120,H. Fannin Jr.,TE,CLE,JAX,10.1,H|fannin|CLE
121,D. Goedert,TE,PHI,WAS,10.0,D|goedert|PHI
122,J. Downs,WR,IND,BLT,9.8,J|downs|IND
123,M. Andrews,TE,BAL,IND,9.7,M|andrews|BAL
124,G. Kittle,TE,SF,LA,9.6,G|kittle|SF
125,S. Diggs,WR,WAS,PHI,9.5,S|diggs|WAS
126,A. Mitchell,WR,NYJ,TEN,9.5,A|mitchell|NYJ
127,J. Ferguson,TE,DAL,NYG,9.5,J|ferguson|DAL
128,J. Jaguars,DST,JAC,CLV,9.5,DST|JAC
129,K. Allen,WR,IND,BLT,9.3,K|allen|IND
130,T. Hockenson,TE,MIN,GB,9.2,T|hockenson|MIN
131,B. Strange,TE,JAC,CLV,9.2,B|strange|JAC
132,R. White,RB,WAS,PHI,9.2,R|white|WAS
133,C. Kupp,WR,SEA,NE,9.1,C|kupp|SEA
134,D. Wicks,WR,PHI,WAS,9.1,D|wicks|PHI
135,I. Likely,TE,NYG,DAL,9.1,I|likely|NYG
136,D. Vele,WR,NO,DET,9.1,D|vele|NO
137,R. Doubs,WR,NE,SEA,9.0,R|doubs|NE
138,D. Schultz,TE,HOU,BUF,9.0,D|schultz|HOU
139,K. Shakir,WR,BUF,HST,9.0,K|shakir|BUF
140,T. Spears,RB,TEN,NYJ,8.8,T|spears|TEN
141,J. McMillan,WR,TB,CIN,8.8,J|mcmillan|TB
142,D. Samuel Sr.,WR,SF,LA,8.7,D|samuel|SF
143,T. Titans,DST,TEN,NYJ,8.7,DST|TEN
144,A. Pierce,WR,IND,BLT,8.7,A|pierce|IND
145,K. Gainwell,RB,TB,CIN,8.6,K|gainwell|TB
146,J. Croskey-Merritt,RB,WAS,PHI,8.6,J|croskey-merritt|WAS
147,T. Tucker,WR,LV,MIA,8.6,T|tucker|LV
148,M. Golden,WR,GB,MIN,8.5,M|golden|GB
149,H. Henry,TE,NE,SEA,8.5,H|henry|NE
150,C. Otton,TE,TB,CIN,8.4,C|otton|TB
151,K. Boutte,WR,HOU,BUF,8.4,K|boutte|HOU
152,J. Jeudy,WR,CLE,JAX,8.3,J|jeudy|CLE
153,J. Mason,RB,MIN,GB,8.2,J|mason|MIN
154,J. Nailor,WR,LV,MIA,8.2,J|nailor|LV
155,S. Seahawks,DST,SEA,NE,8.0,DST|SEA
156,R. Flournoy,WR,DAL,NYG,7.9,R|flournoy|DAL
157,H. Mevis,K,LAR,SF,7.9,H|mevis|LAR
158,L. Angeles Chargers,DST,LAC,ARZ,7.9,DST|LAC
159,B. Corum,RB,LAR,SF,7.9,B|corum|LAR
160,T. Loop,K,BAL,IND,7.8,T|loop|BAL
161,E. McPherson,K,CIN,TB,7.8,E|mcpherson|CIN
162,K. Concepcion,WR,CLE,JAX,7.7,K|concepcion|CLE
163,C. Little,K,JAC,CLV,7.7,C|little|JAC
164,B. Aubrey,K,DAL,NYG,7.7,B|aubrey|DAL
165,C. Dicker,K,LAC,ARZ,7.7,C|dicker|LAC
166,L. Vegas Raiders,DST,LV,MIA,7.7,DST|LV
